epoch,accuracy,loss,val_accuracy,val_loss
0,0.33490175008773804,1.3517796993255615,0.3775216042995453,1.3304821252822876
1,0.5527262687683105,1.1297158002853394,0.5158501267433167,1.1623637676239014
2,0.7052311301231384,0.787189245223999,0.5850144028663635,1.0645229816436768
3,0.7752560377120972,0.5889620184898376,0.5648415088653564,1.112329363822937
4,0.8236922025680542,0.4757249653339386,0.5561959743499756,1.1705595254898071
5,0.8574591875076294,0.3951454758644104,0.5475504398345947,1.222405195236206
6,0.8837531208992004,0.31967654824256897,0.5561959743499756,1.320205807685852
7,0.9139219522476196,0.26777178049087524,0.5446686148643494,1.3842436075210571
8,0.9316357374191284,0.2230178862810135,0.5533141493797302,1.4766501188278198
9,0.9449211359024048,0.18752038478851318,0.5533141493797302,1.5998660326004028
10,0.9468585848808289,0.17238347232341766,0.5417867302894592,1.6680620908737183
11,0.9526709318161011,0.14933761954307556,0.5475504398345947,1.7237600088119507
12,0.9543315768241882,0.13874273002147675,0.559077799320221,1.772904872894287
13,0.9582064747810364,0.12758870422840118,0.5561959743499756,1.8412655591964722
14,0.9626349210739136,0.11971113085746765,0.5417867302894592,1.9217662811279297
15,0.9629117250442505,0.11176139116287231,0.5417867302894592,1.9993231296539307
16,0.9618045687675476,0.10548009723424911,0.5417867302894592,2.0062389373779297
17,0.9640188217163086,0.10092219710350037,0.5331411957740784,2.0979294776916504
18,0.9631884694099426,0.09826956689357758,0.5389049053192139,2.0844228267669678
19,0.9651259183883667,0.09675350785255432,0.5533141493797302,2.176713466644287
20,0.9662330746650696,0.09105408936738968,0.5446686148643494,2.179117202758789
21,0.9681705236434937,0.08938265591859818,0.5417867302894592,2.265521287918091
22,0.9656794667243958,0.09125810861587524,0.5360230803489685,2.247063398361206
23,0.9670633673667908,0.08959836512804031,0.5244956612586975,2.2988522052764893
24,0.9654027223587036,0.08656110614538193,0.5360230803489685,2.282057285308838
